,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[86],-0.57,0.37,-1.25,0.13,0.01,0.01,1409.49,1197.07,1.0
alpha[87],-0.33,0.37,-0.99,0.37,0.01,0.01,2054.44,1566.34,1.0
alpha[88],0.3,0.39,-0.41,1.06,0.01,0.01,1478.44,1497.18,1.0
alpha[89],0.47,0.38,-0.22,1.2,0.01,0.01,1418.23,1247.17,1.0
alpha[90],0.31,0.37,-0.42,1.02,0.01,0.01,1891.91,1438.3,1.0
alpha[91],0.68,0.41,-0.16,1.38,0.01,0.01,1319.02,1247.73,1.0
alpha[92],-0.22,0.37,-0.92,0.47,0.01,0.01,2011.58,1364.0,1.0
alpha[93],0.01,0.37,-0.7,0.68,0.01,0.01,1218.0,1316.27,1.0
alpha[94],0.23,0.4,-0.52,0.98,0.01,0.01,1823.52,1525.7,1.0
alpha[95],-0.13,0.37,-0.81,0.55,0.01,0.01,1338.91,1024.98,1.0
alpha[96],0.69,0.36,0.0,1.36,0.01,0.01,1190.7,1021.43,1.0
alpha[97],0.21,0.38,-0.52,0.9,0.01,0.01,1702.78,1507.41,1.0
alpha[98],-0.05,0.36,-0.76,0.57,0.01,0.01,1659.0,1519.43,1.0
alpha[99],0.66,0.4,-0.03,1.47,0.01,0.01,1427.81,1352.84,1.0
"beta[0, 0]",0.69,0.27,0.24,1.26,0.01,0.01,992.58,1062.55,1.0
"beta[0, 1]",-1.32,0.29,-1.89,-0.78,0.01,0.01,1153.76,1217.19,1.0
"beta[0, 2]",-0.69,0.26,-1.2,-0.23,0.01,0.01,1265.96,1460.56,1.0
"beta[1, 0]",-0.15,0.23,-0.56,0.33,0.01,0.0,1468.4,1368.9,1.0
"beta[1, 1]",0.36,0.22,-0.03,0.79,0.01,0.0,1819.38,1105.58,1.0
"beta[1, 2]",-0.67,0.24,-1.14,-0.24,0.01,0.0,1723.82,1512.47,1.0
"beta[2, 0]",-0.87,0.29,-1.41,-0.37,0.01,0.01,720.6,1031.94,1.0
"beta[2, 1]",-0.27,0.24,-0.72,0.18,0.01,0.01,1161.45,1380.63,1.0
"beta[2, 2]",-0.6,0.28,-1.18,-0.11,0.01,0.01,1382.3,1215.76,1.0
"beta[3, 0]",-0.26,0.34,-0.9,0.39,0.01,0.01,918.15,1181.19,1.0
"beta[3, 1]",-0.42,0.33,-1.06,0.21,0.01,0.01,904.91,1091.96,1.0
"beta[3, 2]",-0.24,0.34,-0.86,0.38,0.01,0.01,915.95,1148.49,1.0
"beta[4, 0]",0.27,0.27,-0.22,0.79,0.01,0.01,1188.14,1184.06,1.0
"beta[4, 1]",-0.59,0.25,-1.03,-0.08,0.01,0.01,988.03,1039.91,1.0
"beta[4, 2]",-0.38,0.26,-0.82,0.15,0.01,0.01,1206.43,1204.39,1.0
"beta[5, 0]",0.33,0.25,-0.13,0.81,0.01,0.01,1117.97,1087.9,1.0
"beta[5, 1]",-0.79,0.25,-1.26,-0.33,0.01,0.0,1457.06,1287.98,1.0
"beta[5, 2]",-0.82,0.27,-1.34,-0.32,0.01,0.01,1571.85,1454.05,1.0
"beta[6, 0]",-0.26,0.24,-0.75,0.16,0.01,0.0,1338.78,1532.39,1.0
"beta[6, 1]",0.41,0.23,0.01,0.86,0.01,0.0,1643.63,1151.96,1.0
"beta[6, 2]",0.06,0.25,-0.44,0.5,0.01,0.01,1120.91,1349.68,1.0
"beta[7, 0]",0.18,0.3,-0.37,0.73,0.01,0.01,1163.33,1215.15,1.0
"beta[7, 1]",0.3,0.27,-0.23,0.79,0.01,0.01,1268.63,1117.57,1.0
"beta[7, 2]",-1.48,0.34,-2.09,-0.83,0.01,0.01,1266.35,1338.07,1.0
"beta[8, 0]",0.38,0.22,-0.02,0.82,0.01,0.0,1633.44,1387.67,1.0
"beta[8, 1]",-0.36,0.21,-0.78,-0.0,0.01,0.0,1319.18,1307.55,1.0
"beta[8, 2]",-0.3,0.23,-0.7,0.15,0.01,0.0,1582.1,1432.61,1.0
"beta[9, 0]",-0.73,0.27,-1.21,-0.2,0.01,0.01,977.13,1053.71,1.0
"beta[9, 1]",0.64,0.25,0.13,1.09,0.01,0.01,1004.54,989.75,1.0
"beta[9, 2]",0.44,0.26,-0.05,0.93,0.01,0.01,1184.67,1294.49,1.0
"beta[10, 0]",0.8,0.26,0.31,1.29,0.01,0.0,1502.15,1560.25,1.0
"beta[10, 1]",-0.58,0.25,-1.05,-0.12,0.01,0.0,1398.38,1361.22,1.0
"beta[10, 2]",-0.04,0.25,-0.53,0.4,0.01,0.01,1031.65,1048.09,1.0
"beta[11, 0]",-0.39,0.26,-0.89,0.1,0.01,0.01,1159.23,1029.1,1.0
"beta[11, 1]",0.5,0.24,0.07,0.98,0.01,0.01,953.11,984.31,1.01
"beta[11, 2]",-0.54,0.28,-1.07,-0.01,0.01,0.01,1119.44,1358.41,1.0
"beta[12, 0]",0.86,0.27,0.38,1.4,0.01,0.01,1136.92,1439.78,1.0
