,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[16, 1]",0.66,0.32,0.08,1.25,0.02,0.01,293.14,829.06,1.01
"beta[16, 2]",0.52,0.34,-0.07,1.2,0.01,0.01,534.08,889.2,1.0
"beta[17, 0]",0.39,0.3,-0.13,0.97,0.01,0.01,554.12,644.02,1.0
"beta[17, 1]",-0.17,0.29,-0.77,0.35,0.01,0.01,501.6,674.35,1.0
"beta[17, 2]",0.28,0.32,-0.33,0.86,0.01,0.01,523.99,944.34,1.0
"beta[18, 0]",-0.64,0.27,-1.1,-0.12,0.01,0.01,705.41,823.54,1.0
"beta[18, 1]",0.11,0.25,-0.34,0.58,0.01,0.01,421.87,458.73,1.0
"beta[18, 2]",-0.52,0.28,-1.05,-0.02,0.01,0.01,705.03,772.35,1.0
"beta[19, 0]",0.13,0.44,-0.66,1.03,0.03,0.02,279.66,522.93,1.01
"beta[19, 1]",0.43,0.43,-0.36,1.24,0.02,0.02,367.91,843.62,1.01
"beta[19, 2]",-0.25,0.44,-0.98,0.66,0.02,0.01,527.69,840.98,1.01
"beta[20, 0]",-0.6,0.27,-1.1,-0.07,0.01,0.01,467.49,496.91,1.0
"beta[20, 1]",-0.29,0.24,-0.74,0.15,0.01,0.01,500.83,1030.87,1.02
"beta[20, 2]",0.24,0.27,-0.26,0.75,0.01,0.01,577.04,609.61,1.0
"beta[21, 0]",-0.89,0.38,-1.58,-0.17,0.02,0.02,280.33,459.18,1.01
"beta[21, 1]",-0.11,0.34,-0.7,0.54,0.02,0.01,295.34,610.98,1.01
"beta[21, 2]",0.46,0.33,-0.17,1.06,0.01,0.01,606.4,952.15,1.0
"beta[22, 0]",-0.83,0.43,-1.65,0.01,0.02,0.02,407.84,410.98,1.0
"beta[22, 1]",0.41,0.43,-0.36,1.22,0.04,0.03,112.79,747.62,1.03
"beta[22, 2]",-0.65,0.43,-1.47,0.12,0.02,0.01,546.98,918.28,1.0
"beta[23, 0]",0.57,0.29,0.02,1.07,0.01,0.01,436.67,579.65,1.0
"beta[23, 1]",-0.67,0.27,-1.17,-0.19,0.01,0.01,466.16,728.63,1.0
"beta[23, 2]",-0.43,0.28,-0.91,0.15,0.01,0.01,648.15,910.64,1.0
"beta[24, 0]",-0.71,0.29,-1.23,-0.14,0.01,0.01,496.5,1024.92,1.01
"beta[24, 1]",-0.32,0.28,-0.83,0.26,0.01,0.01,508.12,869.89,1.0
"beta[24, 2]",0.22,0.29,-0.32,0.77,0.01,0.01,550.51,666.37,1.0
"beta[25, 0]",-0.46,0.27,-0.97,0.04,0.01,0.01,883.76,1159.36,1.0
"beta[25, 1]",0.92,0.26,0.39,1.4,0.01,0.01,666.24,893.5,1.0
"beta[25, 2]",0.04,0.27,-0.45,0.57,0.01,0.01,373.69,465.89,1.0
"beta[26, 0]",0.62,0.38,-0.12,1.28,0.02,0.02,322.57,646.99,1.01
"beta[26, 1]",0.69,0.4,-0.07,1.44,0.03,0.02,249.23,434.46,1.03
"beta[26, 2]",-0.71,0.4,-1.4,0.08,0.02,0.02,305.11,187.0,1.02
"beta[27, 0]",-0.7,0.35,-1.34,-0.03,0.02,0.01,413.91,873.28,1.0
"beta[27, 1]",0.21,0.34,-0.42,0.82,0.03,0.02,215.24,131.45,1.01
"beta[27, 2]",0.12,0.32,-0.47,0.73,0.01,0.01,503.76,455.09,1.0
"beta[28, 0]",1.21,0.36,0.52,1.84,0.02,0.01,395.94,527.23,1.01
"beta[28, 1]",1.48,0.44,0.76,2.32,0.03,0.02,312.03,260.29,1.01
"beta[28, 2]",0.34,0.35,-0.31,1.0,0.02,0.01,472.81,463.21,1.0
"beta[29, 0]",-0.89,0.39,-1.67,-0.21,0.03,0.02,261.14,888.19,1.02
"beta[29, 1]",1.0,0.37,0.35,1.68,0.01,0.01,768.81,1230.11,1.0
"beta[29, 2]",1.11,0.41,0.39,1.91,0.02,0.01,530.8,545.22,1.0
sigma_alpha,0.47,0.08,0.32,0.62,0.01,0.0,208.28,334.33,1.02
