,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],0.09,0.43,-0.7,0.91,0.01,0.01,2338.56,1449.15,1.0
alpha[1],-0.33,0.36,-1.02,0.31,0.01,0.01,2985.37,1437.27,1.0
alpha[2],-0.22,0.35,-0.97,0.36,0.01,0.01,2275.5,1456.38,1.0
alpha[3],-0.46,0.38,-1.17,0.28,0.01,0.01,2462.44,1388.04,1.0
alpha[4],0.15,0.38,-0.55,0.88,0.01,0.01,1800.89,1392.89,1.0
alpha[5],-0.19,0.4,-0.91,0.57,0.01,0.01,1981.28,1489.22,1.0
alpha[6],0.32,0.38,-0.4,1.04,0.01,0.01,1959.88,1131.2,1.0
alpha[7],0.24,0.33,-0.34,0.86,0.01,0.01,1887.98,1084.55,1.0
alpha[8],-0.29,0.38,-1.01,0.42,0.01,0.01,2360.85,1633.12,1.0
alpha[9],-0.1,0.36,-0.78,0.55,0.01,0.01,2463.55,1318.09,1.0
alpha[10],0.21,0.36,-0.44,0.89,0.01,0.01,2432.56,1554.94,1.0
alpha[11],-0.25,0.36,-0.94,0.43,0.01,0.01,2260.88,1415.72,1.0
alpha[12],0.15,0.41,-0.63,0.87,0.01,0.01,1755.89,1335.36,1.0
alpha[13],0.52,0.38,-0.16,1.22,0.01,0.01,2269.15,1343.97,1.0
alpha[14],0.45,0.36,-0.25,1.13,0.01,0.01,2369.69,1483.6,1.0
alpha[15],0.09,0.38,-0.63,0.76,0.01,0.01,1670.3,1466.02,1.0
alpha[16],0.41,0.38,-0.27,1.15,0.01,0.01,2044.29,1239.01,1.0
alpha[17],-0.18,0.36,-0.9,0.47,0.01,0.01,2067.94,1358.24,1.0
alpha[18],-0.13,0.34,-0.76,0.52,0.01,0.01,2599.97,1426.78,1.0
alpha[19],0.81,0.42,-0.02,1.57,0.01,0.01,1810.0,1334.96,1.0
alpha[20],0.39,0.34,-0.27,1.0,0.01,0.01,2106.8,1548.7,1.0
alpha[21],-0.14,0.36,-0.81,0.53,0.01,0.01,2193.41,1255.91,1.0
alpha[22],0.88,0.4,0.12,1.64,0.01,0.01,1611.4,1326.52,1.0
alpha[23],0.17,0.43,-0.72,0.92,0.01,0.01,1937.49,1018.42,1.0
alpha[24],-0.11,0.4,-0.86,0.6,0.01,0.01,2318.84,1380.25,1.0
alpha[25],0.32,0.4,-0.4,1.09,0.01,0.01,2175.4,1409.12,1.0
alpha[26],-0.14,0.34,-0.73,0.54,0.01,0.01,2742.85,1420.03,1.0
alpha[27],-0.22,0.38,-0.91,0.51,0.01,0.01,2567.73,1516.66,1.0
alpha[28],-0.36,0.34,-0.97,0.3,0.01,0.01,2278.46,1530.51,1.0
alpha[29],-0.21,0.36,-0.86,0.49,0.01,0.01,2189.1,1214.59,1.0
alpha[30],-0.76,0.38,-1.49,-0.09,0.01,0.01,1763.28,1406.09,1.0
alpha[31],0.3,0.42,-0.5,1.06,0.01,0.01,2109.48,1257.29,1.0
alpha[32],0.2,0.36,-0.45,0.89,0.01,0.01,2124.86,1437.99,1.0
alpha[33],-0.42,0.4,-1.2,0.3,0.01,0.01,2393.24,1189.64,1.0
alpha[34],0.2,0.39,-0.5,0.97,0.01,0.01,1804.89,1385.93,1.0
alpha[35],0.48,0.4,-0.28,1.18,0.01,0.01,1686.15,1529.58,1.0
alpha[36],-0.62,0.37,-1.36,0.06,0.01,0.01,1735.54,1176.38,1.0
alpha[37],0.34,0.36,-0.29,1.05,0.01,0.01,2169.15,1429.38,1.0
alpha[38],0.15,0.39,-0.59,0.86,0.01,0.01,2141.15,1552.02,1.0
alpha[39],-0.06,0.41,-0.84,0.73,0.01,0.01,1855.29,1136.75,1.0
alpha[40],0.28,0.44,-0.55,1.07,0.01,0.01,1970.71,1175.0,1.0
alpha[41],1.0,0.4,0.22,1.76,0.01,0.01,1729.82,1385.06,1.0
alpha[42],0.33,0.35,-0.3,1.01,0.01,0.01,2952.5,1271.26,1.0
alpha[43],0.51,0.35,-0.07,1.18,0.01,0.01,1703.17,1482.26,1.0
alpha[44],-0.55,0.42,-1.29,0.25,0.01,0.01,2098.25,1498.66,1.0
alpha[45],0.34,0.4,-0.45,1.03,0.01,0.01,2012.56,1254.56,1.0
alpha[46],-0.24,0.38,-0.95,0.45,0.01,0.01,2502.56,1444.95,1.0
alpha[47],-0.44,0.43,-1.24,0.36,0.01,0.01,1631.0,1480.14,1.0
alpha[48],-0.37,0.37,-1.02,0.34,0.01,0.01,1938.23,1131.32,1.0
alpha[49],0.4,0.36,-0.27,1.07,0.01,0.01,1947.25,1382.82,1.0
alpha[50],-0.33,0.36,-1.0,0.32,0.01,0.01,2484.73,1146.96,1.0
alpha[51],0.43,0.4,-0.33,1.15,0.01,0.01,2130.35,1525.17,1.0
alpha[52],-0.33,0.33,-0.95,0.28,0.01,0.01,2033.14,1498.59,1.0
alpha[53],-0.33,0.35,-1.04,0.3,0.01,0.01,2521.05,1580.82,1.0
alpha[54],-0.43,0.35,-1.13,0.19,0.01,0.01,2406.59,1499.78,1.0
alpha[55],0.15,0.4,-0.59,0.92,0.01,0.01,2433.64,1439.69,1.01
alpha[56],0.68,0.41,-0.12,1.41,0.01,0.01,1398.2,1035.89,1.0
alpha[57],-0.02,0.41,-0.79,0.74,0.01,0.01,1704.5,1552.34,1.0
