,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[58],-0.19,0.38,-0.86,0.57,0.01,0.01,2159.49,1321.44,1.0
alpha[59],-0.06,0.36,-0.73,0.58,0.01,0.01,2875.35,1363.84,1.0
alpha[60],-0.08,0.4,-0.86,0.62,0.01,0.01,2221.27,1493.64,1.0
alpha[61],0.27,0.4,-0.48,1.02,0.01,0.01,2374.03,1546.14,1.0
alpha[62],-0.69,0.4,-1.44,0.05,0.01,0.01,1791.46,1440.24,1.0
alpha[63],-0.98,0.4,-1.7,-0.22,0.01,0.01,1342.89,1307.42,1.0
alpha[64],0.34,0.37,-0.32,1.05,0.01,0.01,2605.25,1350.64,1.01
alpha[65],-1.09,0.38,-1.76,-0.39,0.01,0.01,1701.02,1413.33,1.0
alpha[66],-0.47,0.38,-1.21,0.21,0.01,0.01,2237.0,1749.27,1.0
alpha[67],-0.02,0.36,-0.66,0.71,0.01,0.01,2472.09,1301.39,1.0
alpha[68],0.27,0.35,-0.35,0.93,0.01,0.01,2738.49,1607.54,1.0
alpha[69],-0.08,0.37,-0.76,0.62,0.01,0.01,2056.9,1395.41,1.0
alpha[70],0.55,0.37,-0.13,1.24,0.01,0.01,1787.23,1288.71,1.0
alpha[71],-0.35,0.38,-1.12,0.3,0.01,0.01,2294.59,936.43,1.0
alpha[72],-0.22,0.39,-0.98,0.48,0.01,0.01,2143.37,1276.38,1.0
alpha[73],0.07,0.42,-0.71,0.88,0.01,0.01,1608.67,1316.18,1.0
alpha[74],-0.04,0.37,-0.69,0.7,0.01,0.01,2205.37,1428.2,1.0
alpha[75],0.25,0.35,-0.42,0.87,0.01,0.01,3015.11,1346.32,1.0
alpha[76],0.55,0.37,-0.19,1.2,0.01,0.01,2152.09,1269.82,1.0
alpha[77],0.24,0.36,-0.43,0.92,0.01,0.01,2546.63,1397.81,1.0
alpha[78],-0.08,0.42,-0.82,0.72,0.01,0.01,2077.58,1523.14,1.0
alpha[79],0.16,0.36,-0.49,0.83,0.01,0.01,2181.27,1569.65,1.0
alpha[80],-0.39,0.38,-1.14,0.29,0.01,0.01,2268.99,1584.85,1.0
alpha[81],-0.79,0.36,-1.45,-0.09,0.01,0.01,1920.26,1403.27,1.0
alpha[82],0.05,0.39,-0.63,0.84,0.01,0.01,1818.66,1531.49,1.0
alpha[83],0.33,0.35,-0.31,1.03,0.01,0.01,1983.9,1380.91,1.0
alpha[84],0.37,0.39,-0.43,1.03,0.01,0.01,1692.33,1374.63,1.0
alpha[85],0.24,0.4,-0.52,0.98,0.01,0.01,2375.56,1318.42,1.0
alpha[86],-0.23,0.41,-0.95,0.57,0.01,0.01,1304.17,1308.72,1.0
alpha[87],-0.8,0.37,-1.5,-0.12,0.01,0.01,1908.74,1260.69,1.0
alpha[88],0.34,0.38,-0.31,1.11,0.01,0.01,2155.63,1473.89,1.0
alpha[89],-0.48,0.39,-1.16,0.26,0.01,0.01,1753.67,1584.29,1.0
alpha[90],0.69,0.37,0.04,1.45,0.01,0.01,1685.24,1417.63,1.0
alpha[91],-0.65,0.37,-1.36,0.04,0.01,0.01,1713.42,1566.02,1.0
alpha[92],-0.04,0.36,-0.69,0.68,0.01,0.01,2458.11,1677.41,1.0
alpha[93],0.62,0.38,-0.13,1.28,0.01,0.01,1724.16,1307.4,1.0
alpha[94],0.24,0.35,-0.43,0.89,0.01,0.01,2623.95,1523.74,1.0
alpha[95],-0.52,0.4,-1.31,0.22,0.01,0.01,2131.19,1418.33,1.0
alpha[96],-0.5,0.42,-1.31,0.29,0.01,0.01,2221.38,1442.02,1.0
alpha[97],0.21,0.41,-0.6,0.93,0.01,0.01,2136.15,1321.04,1.0
alpha[98],0.38,0.37,-0.25,1.09,0.01,0.01,1842.05,1300.46,1.0
alpha[99],-0.45,0.35,-1.13,0.19,0.01,0.01,2050.14,1075.56,1.0
"beta[0, 0]",-0.51,0.24,-1.0,-0.08,0.01,0.0,1512.79,1258.97,1.0
"beta[0, 1]",-0.61,0.23,-1.06,-0.17,0.01,0.0,1607.82,1399.58,1.0
"beta[1, 0]",-0.35,0.27,-0.86,0.15,0.01,0.0,1449.14,1346.05,1.0
"beta[1, 1]",-0.67,0.26,-1.15,-0.19,0.01,0.01,924.45,1147.28,1.0
"beta[2, 0]",0.15,0.3,-0.36,0.75,0.01,0.01,897.09,1306.97,1.0
"beta[2, 1]",0.89,0.3,0.34,1.43,0.01,0.01,726.39,1224.43,1.0
"beta[3, 0]",-0.65,0.4,-1.4,0.06,0.02,0.01,594.88,994.75,1.0
"beta[3, 1]",0.76,0.38,0.07,1.47,0.02,0.01,662.7,1010.11,1.0
"beta[4, 0]",-0.57,0.29,-1.14,-0.07,0.01,0.01,923.29,1054.67,1.0
"beta[4, 1]",0.27,0.26,-0.23,0.73,0.01,0.01,983.09,1137.46,1.0
"beta[5, 0]",-1.03,0.25,-1.49,-0.55,0.01,0.0,1980.76,1725.92,1.0
"beta[5, 1]",0.38,0.23,-0.07,0.8,0.01,0.0,1533.24,1241.65,1.0
"beta[6, 0]",0.69,0.35,0.05,1.35,0.01,0.01,786.39,1398.31,1.0
"beta[6, 1]",-0.77,0.34,-1.47,-0.19,0.01,0.01,704.95,1028.74,1.0
"beta[7, 0]",0.69,0.32,0.05,1.25,0.01,0.01,764.14,1183.4,1.0
"beta[7, 1]",-0.1,0.28,-0.62,0.41,0.01,0.01,678.77,1203.28,1.0
"beta[8, 0]",0.23,0.27,-0.3,0.7,0.01,0.01,1203.71,1137.08,1.0
"beta[8, 1]",-0.93,0.26,-1.43,-0.44,0.01,0.01,1355.1,1369.38,1.0
"beta[9, 0]",-0.29,0.27,-0.83,0.16,0.01,0.01,986.56,1277.13,1.0
"beta[9, 1]",0.17,0.24,-0.27,0.64,0.01,0.01,881.91,1341.68,1.0
"beta[10, 0]",-0.32,0.3,-0.86,0.24,0.01,0.01,1053.29,1294.4,1.0
"beta[10, 1]",-0.32,0.26,-0.81,0.13,0.01,0.01,770.13,1133.25,1.0
"beta[11, 0]",0.25,0.27,-0.26,0.73,0.01,0.01,718.85,1157.92,1.0
"beta[11, 1]",-0.21,0.25,-0.7,0.25,0.01,0.01,913.76,1236.58,1.0
"beta[12, 0]",-0.22,0.49,-1.12,0.72,0.02,0.02,538.28,788.42,1.0
"beta[12, 1]",-0.3,0.47,-1.15,0.61,0.02,0.02,447.77,1082.55,1.0
"beta[13, 0]",-0.33,0.29,-0.88,0.19,0.01,0.01,670.09,942.27,1.0
"beta[13, 1]",-0.07,0.27,-0.58,0.44,0.01,0.01,830.89,858.28,1.0
"beta[14, 0]",-0.67,0.26,-1.18,-0.18,0.01,0.01,1255.73,1079.72,1.0
"beta[14, 1]",-0.8,0.26,-1.27,-0.33,0.01,0.01,1146.04,1324.8,1.0
"beta[15, 0]",1.06,0.32,0.44,1.63,0.01,0.01,881.13,830.71,1.0
"beta[15, 1]",-0.58,0.27,-1.12,-0.1,0.01,0.01,855.32,1293.32,1.0
"beta[16, 0]",-0.11,0.34,-0.74,0.53,0.01,0.01,800.26,1216.87,1.0
"beta[16, 1]",-0.73,0.32,-1.31,-0.11,0.01,0.01,762.83,1302.01,1.0
"beta[17, 0]",0.17,0.31,-0.41,0.74,0.01,0.01,639.03,827.87,1.0
"beta[17, 1]",0.13,0.31,-0.51,0.64,0.01,0.01,698.77,1074.65,1.01
"beta[18, 0]",0.54,0.24,0.15,1.02,0.01,0.0,1710.15,1380.26,1.0
"beta[18, 1]",0.26,0.22,-0.12,0.68,0.01,0.0,1366.7,1121.67,1.0
"beta[19, 0]",0.66,0.28,0.14,1.19,0.01,0.01,1462.07,1355.06,1.0
"beta[19, 1]",-0.52,0.25,-1.01,-0.09,0.01,0.01,1162.26,1297.28,1.0
"beta[20, 0]",-0.57,0.3,-1.12,-0.02,0.01,0.01,918.99,1067.95,1.0
"beta[20, 1]",0.52,0.28,-0.0,1.06,0.01,0.01,763.74,1141.26,1.0
"beta[21, 0]",0.1,0.3,-0.46,0.68,0.01,0.01,1013.38,1115.51,1.0
"beta[21, 1]",-1.18,0.32,-1.78,-0.58,0.01,0.01,1221.91,1146.5,1.0
"beta[22, 0]",-0.05,0.32,-0.67,0.54,0.01,0.01,822.91,1354.22,1.0
"beta[22, 1]",-1.24,0.35,-1.9,-0.6,0.01,0.01,803.92,1238.31,1.0
"beta[23, 0]",-0.48,0.27,-1.01,-0.02,0.01,0.01,942.14,1415.86,1.0
"beta[23, 1]",-0.45,0.25,-0.92,0.01,0.01,0.01,953.45,1398.93,1.0
"beta[24, 0]",-0.41,0.42,-1.19,0.38,0.02,0.01,533.75,900.52,1.0
"beta[24, 1]",-0.81,0.42,-1.65,-0.08,0.02,0.01,476.32,845.12,1.0
"beta[25, 0]",0.88,0.26,0.39,1.34,0.01,0.0,1655.66,1484.29,1.0
"beta[25, 1]",-0.28,0.22,-0.68,0.13,0.01,0.0,1564.9,1579.77,1.0
"beta[26, 0]",0.18,0.28,-0.34,0.71,0.01,0.01,1033.97,1343.87,1.0
"beta[26, 1]",0.53,0.26,0.05,1.03,0.01,0.01,993.92,1273.89,1.0
"beta[27, 0]",0.84,0.29,0.28,1.38,0.01,0.01,1048.96,1398.68,1.0
"beta[27, 1]",0.77,0.28,0.26,1.33,0.01,0.01,975.57,1188.66,1.0
"beta[28, 0]",-0.08,0.24,-0.56,0.35,0.01,0.0,1428.69,1535.26,1.0
"beta[28, 1]",0.66,0.23,0.25,1.09,0.01,0.0,1317.73,1341.61,1.0
"beta[29, 0]",-0.07,0.37,-0.76,0.62,0.01,0.01,717.55,1008.17,1.0
"beta[29, 1]",0.46,0.33,-0.15,1.06,0.01,0.01,620.0,1209.3,1.0
sigma_alpha,0.57,0.08,0.43,0.72,0.0,0.0,446.94,585.48,1.0
